CN101010100, 北京
CN101010200, 海淀
CN101010300, 朝阳
CN101010400, 顺义
CN101010500, 怀柔
CN101010600, 通州
CN101010700, 昌平
CN101010800, 延庆
CN101010900, 丰台
CN101011000, 石景山
CN101011100, 大兴
CN101011200, 房山
CN101011300, 密云
CN101011400, 门头沟
CN101011500, 平谷
CN101011600, 东城
CN101011700, 西城
CN101020100, 上海
CN101020200, 闵行
CN101020300, 宝山
CN101020400, 黄浦
CN101020500, 嘉定
CN101020600, 浦东新区
CN101020700, 金山
CN101020800, 青浦
CN101020900, 松江
CN101021000, 奉贤
CN101021100, 崇明
CN101021200, 徐汇
CN101021300, 长宁
CN101021400, 静安
CN101021500, 普陀
CN101021600, 虹口
CN101021700, 杨浦
CN101030100, 天津
CN101030200, 武清
CN101030300, 宝坻
CN101030400, 东丽
CN101030500, 西青
CN101030600, 北辰
CN101030700, 宁河
CN101030800, 和平
CN101030900, 静海
CN101031000, 津南
CN101031100, 滨海新区
CN101031200, 河东
CN101031300, 河西
CN101031400, 蓟州
CN101031500, 南开
CN101031600, 河北
CN101031700, 红桥
CN101040100, 重庆
CN101040200, 永川
CN101040300, 合川
CN101040400, 南川
CN101040500, 江津
CN101040700, 渝北
CN101040800, 北碚
CN101040900, 巴南
CN101041000, 长寿
CN101041100, 黔江
CN101041200, 渝中
CN101041300, 万州
CN101041400, 涪陵
CN101041500, 开县
CN101041600, 城口
CN101041700, 云阳
CN101041800, 巫溪
CN101041900, 奉节
CN101042000, 巫山
CN101042100, 潼南
CN101042200, 垫江
CN101042300, 梁平
CN101042400, 忠县
CN101042500, 石柱
CN101042600, 大足
CN101042700, 荣昌
CN101042800, 铜梁
CN101042900, 璧山
CN101043000, 丰都
CN101043100, 武隆
CN101043200, 彭水
CN101043300, 綦江
CN101043400, 酉阳
CN101043500, 大渡口
CN101043600, 秀山
CN101043700, 江北
CN101043800, 沙坪坝
CN101043900, 九龙坡
CN101044000, 南岸
CN101044100, 开州
CN101050101, 哈尔滨
CN101050102, 双城
CN101050103, 呼兰
CN101050104, 阿城
CN101050105, 宾县
CN101050106, 依兰
CN101050107, 巴彦
CN101050108, 通河
CN101050109, 方正
CN101050110, 延寿
CN101050111, 尚志
CN101050112, 五常
CN101050113, 木兰
CN101050114, 道里
CN101050115, 南岗
CN101050116, 道外
CN101050117, 平房
CN101050118, 松北
CN101050119, 香坊
CN101050201, 齐齐哈尔
CN101050202, 讷河
CN101050203, 龙江
CN101050204, 甘南
CN101050205, 富裕
CN101050206, 依安
CN101050207, 拜泉
CN101050208, 克山
CN101050209, 克东
CN101050210, 泰来
CN101050211, 龙沙
CN101050212, 建华
CN101050213, 铁锋
CN101050214, 昂昂溪
CN101050215, 富拉尔基
CN101050216, 碾子山
CN101050217, 梅里斯
CN101050301, 牡丹江
CN101050302, 海林
CN101050303, 穆棱
CN101050304, 林口
CN101050305, 绥芬河
CN101050306, 宁安
CN101050307, 东宁
CN101050308, 东安
CN101050309, 阳明
CN101050310, 爱民
CN101050311, 西安
CN101050401, 佳木斯
CN101050402, 汤原
CN101050403, 抚远
CN101050404, 桦川
CN101050405, 桦南
CN101050406, 同江
CN101050407, 富锦
CN101050408, 向阳
CN101050409, 前进
CN101050410, 东风
CN101050411, 郊区
CN101050501, 绥化
CN101050502, 肇东
CN101050503, 安达
CN101050504, 海伦
CN101050505, 明水
CN101050506, 望奎
CN101050507, 兰西
CN101050508, 青冈
CN101050509, 庆安
CN101050510, 绥棱
CN101050511, 北林
CN101050601, 黑河
CN101050602, 嫩江
CN101050603, 孙吴
CN101050604, 逊克
CN101050605, 五大连池
CN101050606, 北安
CN101050607, 爱辉
CN101050701, 大兴安岭
CN101050702, 塔河
CN101050703, 漠河
CN101050704, 呼玛
CN101050705, 呼中
CN101050706, 新林
CN101050708, 加格达奇
CN101050801, 伊春
CN101050802, 乌伊岭
CN101050803, 五营
CN101050804, 铁力
CN101050805, 嘉荫
CN101050806, 南岔
CN101050807, 友好
CN101050808, 西林
CN101050809, 翠峦
CN101050810, 新青
CN101050811, 美溪
CN101050812, 金山屯
CN101050813, 乌马河
CN101050814, 汤旺
CN101050815, 带岭
CN101050816, 红星
CN101050817, 上甘岭
CN101050901, 大庆
CN101050902, 林甸
CN101050903, 肇州
CN101050904, 肇源
CN101050905, 杜尔伯特
CN101050906, 萨尔图
CN101050907, 龙凤
CN101050908, 让胡路
CN101050909, 红岗
CN101050910, 大同
CN101051001, 新兴
CN101051002, 七台河
CN101051003, 勃利
CN101051004, 桃山
CN101051005, 茄子河
CN101051101, 鸡西
CN101051102, 虎林
CN101051103, 密山
CN101051104, 鸡东
CN101051105, 鸡冠
CN101051106, 恒山
CN101051107, 滴道
CN101051108, 梨树
CN101051109, 城子河
CN101051110, 麻山
CN101051201, 鹤岗
CN101051202, 绥滨
CN101051203, 萝北
CN101051204, 向阳
CN101051205, 工农
CN101051206, 南山
CN101051207, 兴安
CN101051208, 东山
CN101051209, 兴山
CN101051301, 双鸭山
CN101051302, 集贤
CN101051303, 宝清
CN101051304, 饶河
CN101051305, 友谊
CN101051306, 尖山
CN101051307, 岭东
CN101051308, 四方台
CN101051309, 宝山
CN101060101, 长春
CN101060102, 农安
CN101060103, 德惠
CN101060104, 九台
CN101060105, 榆树
CN101060106, 双阳
CN101060107, 二道
CN101060108, 南关
CN101060109, 宽城
CN101060110, 朝阳
CN101060111, 绿园
CN101060201, 吉林
CN101060202, 舒兰
CN101060203, 永吉
CN101060204, 蛟河
CN101060205, 磐石
CN101060206, 桦甸
CN101060207, 昌邑
CN101060208, 龙潭
CN101060209, 船营
CN101060210, 丰满
CN101060301, 延吉
CN101060302, 敦化
CN101060303, 安图
CN101060304, 汪清
CN101060305, 和龙
CN101060306, 延边
CN101060307, 龙井
CN101060308, 珲春
CN101060309, 图们
CN101060401, 四平
CN101060402, 双辽
CN101060403, 梨树
CN101060404, 公主岭
CN101060405, 伊通
CN101060406, 铁西
CN101060407, 铁东
CN101060501, 通化
CN101060502, 梅河口
CN101060503, 柳河
CN101060504, 辉南
CN101060505, 集安
CN101060506, 通化县
CN101060507, 东昌
CN101060508, 二道江
CN101060601, 白城
CN101060602, 洮南
CN101060603, 大安
CN101060604, 镇赉
CN101060605, 通榆
CN101060606, 洮北
CN101060701, 辽源
CN101060702, 东丰
CN101060703, 东辽
CN101060704, 龙山
CN101060705, 西安
CN101060801, 松原
CN101060802, 乾安
CN101060803, 前郭
CN101060804, 长岭
CN101060805, 扶余
CN101060806, 宁江
CN101060901, 白山
CN101060902, 靖宇
CN101060903, 临江
CN101060905, 长白
CN101060906, 抚松
CN101060907, 江源
CN101060908, 浑江
CN101070101, 沈阳
CN101070102, 浑南
CN101070103, 辽中
CN101070104, 康平
CN101070105, 法库
CN101070106, 新民
CN101070107, 和平
CN101070108, 沈河
CN101070109, 大东
CN101070110, 皇姑
CN101070111, 铁西
CN101070112, 苏家屯
CN101070113, 沈北新区
CN101070114, 于洪
CN101070115, 东陵
CN101070201, 大连
CN101070202, 瓦房店
CN101070203, 金州
CN101070204, 普兰店
CN101070205, 旅顺
CN101070206, 长海
CN101070207, 庄河
CN101070208, 中山
CN101070209, 西岗
CN101070210, 沙河口
CN101070211, 甘井子
CN101070301, 鞍山
CN101070302, 台安
CN101070303, 岫岩
CN101070304, 海城
CN101070305, 铁东
CN101070306, 铁西
CN101070307, 立山
CN101070308, 千山
CN101070401, 抚顺
CN101070402, 新宾
CN101070403, 清原
CN101070405, 新抚
CN101070406, 东洲
CN101070407, 望花
CN101070408, 顺城
CN101070501, 本溪
CN101070502, 本溪县
CN101070503, 平山
CN101070504, 桓仁
CN101070505, 溪湖
CN101070506, 明山
CN101070507, 南芬
CN101070601, 丹东
CN101070602, 凤城
CN101070603, 宽甸
CN101070604, 东港
CN101070605, 元宝
CN101070606, 振兴
CN101070607, 振安
CN101070701, 锦州
CN101070702, 凌海
CN101070703, 古塔
CN101070704, 义县
CN101070705, 黑山
CN101070706, 北镇
CN101070707, 凌河
CN101070708, 太和
CN101070801, 营口
CN101070802, 大石桥
CN101070803, 盖州
CN101070804, 站前
CN101070805, 西市
CN101070806, 鲅鱼圈
CN101070807, 老边
CN101070901, 阜新
CN101070902, 彰武
CN101070903, 海州
CN101070904, 新邱
CN101070905, 太平
CN101070906, 清河门
CN101070907, 细河
CN101071001, 辽阳
CN101071002, 辽阳县
CN101071003, 灯塔
CN101071004, 弓长岭
CN101071005, 白塔
CN101071006, 文圣
CN101071007, 宏伟
CN101071008, 太子河
CN101071101, 铁岭
CN101071102, 开原
CN101071103, 昌图
CN101071104, 西丰
CN101071105, 调兵山
CN101071106, 银州
CN101071107, 清河
CN101071201, 朝阳
CN101071202, 双塔
CN101071203, 凌源
CN101071204, 喀左
CN101071205, 北票
CN101071206, 龙城
CN101071207, 建平县
CN101071301, 盘锦
CN101071302, 大洼
CN101071303, 盘山
CN101071304, 双台子
CN101071305, 兴隆台
CN101071401, 葫芦岛
CN101071402, 建昌
CN101071403, 绥中
CN101071404, 兴城
CN101071405, 连山
CN101071406, 龙港
CN101071407, 南票
CN101080101, 呼和浩特
CN101080102, 土左旗
CN101080103, 托县
CN101080104, 和林
CN101080105, 清水河
CN101080106, 赛罕
CN101080107, 武川
CN101080108, 新城
CN101080109, 回民
CN101080110, 玉泉
CN101080201, 包头
CN101080202, 白云鄂博
CN101080204, 土右旗
CN101080205, 固阳
CN101080206, 达茂旗
CN101080208, 东河
CN101080209, 昆都仑
CN101080210, 青山
CN101080211, 石拐
CN101080212, 九原
CN101080301, 乌海
CN101080302, 海勃湾
CN101080303, 海南
CN101080304, 乌达
CN101080401, 集宁
CN101080402, 卓资
CN101080403, 化德
CN101080404, 商都
CN101080405, 乌兰察布
CN101080406, 兴和
CN101080407, 凉城
CN101080408, 察右前旗
CN101080409, 察右中旗
CN101080410, 察右后旗
CN101080411, 四子王旗
CN101080412, 丰镇
INSERT INTO `city` `id`, `cityZh`
CN101080501, 通辽
CN101080503, 科左中旗
CN101080504, 科左后旗
CN101080506, 开鲁
CN101080507, 库伦
CN101080508, 奈曼
CN101080509, 扎鲁特
CN101080510, 科尔沁
CN101080512, 霍林郭勒
CN101080601, 赤峰
CN101080602, 红山
CN101080603, 阿鲁旗
CN101080605, 巴林左旗
CN101080606, 巴林右旗
CN101080607, 林西
CN101080608, 克什克腾
CN101080609, 翁牛特
CN101080611, 喀喇沁
CN101080613, 宁城
CN101080614, 敖汉
CN101080616, 元宝山
CN101080617, 松山
CN101080701, 鄂尔多斯
CN101080703, 达拉特
CN101080704, 准格尔
CN101080705, 鄂前旗
CN101080708, 鄂托克
CN101080709, 杭锦旗
CN101080710, 乌审旗
CN101080711, 伊金霍洛
CN101080713, 东胜
CN101080714, 康巴什
CN101080801, 临河
CN101080802, 五原
CN101080803, 磴口
CN101080804, 乌前旗
CN101080806, 乌中旗
CN101080807, 乌后旗
CN101080810, 杭锦后旗
CN101080811, 巴彦淖尔
CN101080901, 锡林浩特
CN101080902, 锡林郭勒
CN101080903, 二连浩特
CN101080904, 阿巴嘎
CN101080906, 苏左旗
CN101080907, 苏右旗
CN101080909, 东乌旗
CN101080910, 西乌旗
CN101080911, 太仆寺
CN101080912, 镶黄旗
CN101080913, 正镶白旗
CN101080914, 正蓝旗
CN101080915, 多伦
CN101081001, 海拉尔
CN101081002, 小二沟
CN101081003, 阿荣旗
CN101081004, 莫力达瓦
CN101081005, 鄂伦春旗
CN101081006, 鄂温克旗
CN101081007, 陈旗
CN101081008, 新左旗
CN101081009, 新右旗
CN101081010, 满洲里
CN101081011, 牙克石
CN101081012, 扎兰屯
CN101081013, 呼伦贝尔
CN101081014, 额尔古纳
CN101081015, 根河
CN101081016, 图里河
CN101081017, 扎赉诺尔
CN101081101, 乌兰浩特
CN101081102, 阿尔山
CN101081103, 科右中旗
CN101081105, 扎赉特
CN101081107, 突泉
CN101081108, 兴安盟
CN101081109, 科右前旗
CN101081201, 阿左旗
CN101081202, 阿右旗
CN101081203, 额济纳
CN101081213, 阿拉善盟
CN101090101, 石家庄
CN101090102, 井陉
CN101090103, 正定
CN101090104, 栾城
CN101090105, 行唐
CN101090106, 灵寿
CN101090107, 高邑
CN101090108, 深泽
CN101090109, 赞皇
CN101090110, 无极
CN101090111, 平山
CN101090112, 元氏
CN101090113, 赵县
CN101090114, 辛集
CN101090115, 藁城
CN101090116, 晋州
CN101090117, 新乐
CN101090118, 鹿泉
CN101090119, 长安
CN101090120, 桥西
CN101090121, 新华
CN101090122, 井陉矿区
CN101090123, 裕华
CN101090201, 保定
CN101090202, 满城
CN101090203, 阜平
CN101090204, 徐水
CN101090205, 唐县
CN101090206, 高阳
CN101090208, 竞秀
CN101090209, 涞源
CN101090210, 望都
CN101090212, 易县
CN101090213, 莲池
CN101090214, 曲阳
CN101090215, 蠡县
CN101090216, 顺平
CN101090217, 雄县
CN101090218, 涿州
CN101090219, 定州
CN101090220, 安国
CN101090221, 高碑店
CN101090222, 涞水
CN101090223, 定兴
CN101090224, 清苑
CN101090225, 博野
CN101090226, 南市
CN101090301, 张家口
CN101090302, 宣化
CN101090303, 张北
CN101090304, 康保
CN101090305, 沽源
CN101090306, 尚义
CN101090307, 蔚县
CN101090308, 阳原
CN101090309, 怀安
CN101090310, 万全
CN101090311, 怀来
CN101090312, 涿鹿
CN101090313, 赤城
CN101090314, 崇礼
CN101090315, 桥东
CN101090316, 桥西
CN101090317, 下花园
CN101090401, 双桥
CN101090402, 承德
CN101090403, 承德县
CN101090404, 兴隆
CN101090405, 平泉
CN101090406, 滦平
CN101090407, 隆化
CN101090408, 丰宁
CN101090409, 宽城
CN101090410, 围场
CN101090411, 双滦
CN101090412, 鹰手营子矿
CN101090501, 唐山
CN101090502, 丰南
CN101090503, 丰润
CN101090504, 滦县
CN101090505, 滦南
CN101090506, 乐亭
CN101090507, 迁西
CN101090508, 玉田
CN101090509, 曹妃甸
CN101090510, 遵化
CN101090511, 迁安
CN101090513, 路南
CN101090514, 路北
CN101090515, 古冶
CN101090516, 开平
CN101090601, 廊坊
CN101090602, 固安
CN101090603, 永清
CN101090604, 香河
CN101090605, 大城
CN101090606, 文安
CN101090607, 大厂
CN101090608, 霸州
CN101090609, 三河
CN101090610, 安次
CN101090611, 广阳
CN101090701, 沧州
CN101090702, 青县
CN101090703, 东光
CN101090704, 海兴
CN101090705, 盐山
CN101090706, 肃宁
CN101090707, 南皮
CN101090708, 吴桥
CN101090709, 献县
CN101090710, 孟村
CN101090711, 泊头
CN101090712, 任丘
CN101090713, 黄骅
CN101090714, 河间
CN101090715, 新华
CN101090716, 沧县
CN101090717, 运河
CN101090801, 衡水
CN101090802, 枣强
CN101090803, 武邑
CN101090804, 武强
CN101090805, 饶阳
CN101090806, 安平
CN101090807, 故城
CN101090808, 景县
CN101090809, 阜城
CN101090810, 冀州
CN101090811, 深州
CN101090812, 桃城
CN101090901, 邢台
CN101090902, 临城
CN101090903, 桥东
CN101090904, 内丘
CN101090905, 柏乡
CN101090906, 隆尧
CN101090907, 南和
CN101090908, 宁晋
CN101090909, 巨鹿
CN101090910, 新河
CN101090911, 广宗
CN101090912, 平乡
CN101090913, 威县
CN101090914, 清河
CN101090915, 临西
CN101090916, 南宫
CN101090917, 沙河
CN101090918, 任县
CN101090919, 桥西
CN101091001, 邯郸
CN101091002, 峰峰
CN101091003, 临漳
CN101091004, 成安
CN101091005, 大名
CN101091006, 涉县
CN101091007, 磁县
CN101091008, 肥乡
CN101091009, 永年
CN101091010, 邱县
CN101091011, 鸡泽
CN101091012, 广平
CN101091013, 馆陶
CN101091014, 魏县
CN101091015, 曲周
CN101091016, 武安
CN101091017, 邯山
CN101091018, 丛台
CN101091019, 复兴
CN101091101, 秦皇岛
CN101091102, 青龙
CN101091103, 昌黎
CN101091104, 抚宁
CN101091105, 卢龙
CN101091106, 北戴河
CN101091107, 海港
CN101091108, 山海关
CN101091201, 雄安新区
CN101091202, 容城
CN101091203, 安新
CN101091204, 雄县
CN101100101, 太原
CN101100102, 清徐
CN101100103, 阳曲
CN101100104, 娄烦
CN101100105, 古交
CN101100106, 尖草坪区
CN101100107, 小店区
CN101100108, 迎泽
CN101100109, 杏花岭
CN101100110, 万柏林
CN101100111, 晋源
CN101100201, 大同
CN101100202, 阳高
CN101100203, 大同
CN101100204, 天镇
CN101100205, 广灵
CN101100206, 灵丘
CN101100207, 浑源
CN101100208, 左云
CN101100209, 矿区
CN101100210, 南郊
CN101100211, 新荣
CN101100301, 阳泉
CN101100302, 盂县
CN101100303, 平定
CN101100304, 矿区
CN101100305, 郊区
CN101100401, 晋中
CN101100402, 榆次
CN101100403, 榆社
CN101100404, 左权
CN101100405, 和顺
CN101100406, 昔阳
CN101100407, 寿阳
CN101100408, 太谷
CN101100409, 祁县
CN101100410, 平遥
CN101100411, 灵石
CN101100412, 介休
CN101100501, 长治
CN101100502, 黎城
CN101100503, 屯留
CN101100504, 潞城
CN101100505, 襄垣
CN101100506, 平顺
CN101100507, 武乡
CN101100508, 沁县
CN101100509, 长子
CN101100510, 沁源
CN101100511, 壶关
CN101100512, 郊区
CN101100601, 晋城
CN101100602, 沁水
CN101100603, 阳城
CN101100604, 陵川
CN101100605, 高平
CN101100606, 泽州
CN101100701, 临汾
CN101100702, 曲沃
CN101100703, 永和
CN101100704, 隰县
CN101100705, 大宁
CN101100706, 吉县
CN101100707, 襄汾
CN101100708, 蒲县
CN101100709, 汾西
CN101100710, 洪洞
CN101100711, 霍州
CN101100712, 乡宁
CN101100713, 翼城
CN101100714, 侯马
CN101100715, 浮山
CN101100716, 安泽
CN101100717, 古县
CN101100718, 尧都
CN101100801, 运城
CN101100802, 临猗
CN101100803, 稷山
CN101100804, 万荣
CN101100805, 河津
CN101100806, 新绛
CN101100807, 绛县
CN101100808, 闻喜
CN101100809, 垣曲
CN101100810, 永济
CN101100811, 芮城
CN101100812, 夏县
CN101100813, 平陆
CN101100814, 盐湖
CN101100901, 朔州
CN101100902, 平鲁
CN101100903, 山阴
CN101100904, 右玉
CN101100905, 应县
CN101100906, 怀仁
CN101100907, 朔城
CN101101001, 忻州
CN101101002, 定襄
CN101101003, 五台县
CN101101004, 河曲
CN101101005, 偏关
CN101101006, 神池
CN101101007, 宁武
CN101101008, 代县
CN101101009, 繁峙
CN101101011, 保德
CN101101012, 静乐
CN101101013, 岢岚
CN101101014, 五寨
CN101101015, 原平
CN101101016, 忻府
CN101101100, 吕梁
CN101101101, 离石
CN101101102, 临县
CN101101103, 兴县
CN101101104, 岚县
CN101101105, 柳林
CN101101106, 石楼
CN101101107, 方山
CN101101108, 交口
CN101101109, 中阳
CN101101110, 孝义
CN101101111, 汾阳
CN101101112, 文水
CN101101113, 交城
CN101110101, 西安
CN101110102, 长安
CN101110103, 临潼
CN101110104, 蓝田
CN101110105, 周至
CN101110106, 邑
CN101110107, 高陵
CN101110108, 新城
CN101110109, 碑林
CN101110110, 莲湖
CN101110111, 灞桥
CN101110112, 未央
CN101110113, 雁塔
CN101110114, 阎良
CN101110200, 咸阳
CN101110201, 三原
CN101110202, 礼泉
CN101110203, 永寿
CN101110204, 淳化
CN101110205, 泾阳
CN101110206, 武功
CN101110207, 乾县
CN101110208, 彬州
CN101110209, 长武
CN101110210, 旬邑
CN101110211, 兴平
CN101110212, 秦都
CN101110213, 渭城
CN101110300, 延安
CN101110301, 延长
CN101110302, 延川
CN101110303, 子长
CN101110304, 宜川
CN101110305, 富县
CN101110306, 志丹
CN101110307, 安塞
CN101110308, 甘泉
CN101110309, 洛川
CN101110310, 黄陵
CN101110311, 黄龙
CN101110312, 吴起
CN101110313, 宝塔
CN101110401, 榆林
CN101110402, 府谷
CN101110403, 神木
CN101110404, 佳县
CN101110405, 定边
CN101110406, 靖边
CN101110407, 横山
CN101110408, 米脂
CN101110409, 子洲
CN101110410, 绥德
CN101110411, 吴堡
CN101110412, 清涧
CN101110413, 榆阳
CN101110501, 渭南
CN101110502, 华县
CN101110503, 潼关
CN101110504, 大荔
CN101110505, 白水
CN101110506, 富平
CN101110507, 蒲城
CN101110508, 澄城
CN101110509, 合阳
CN101110510, 韩城
CN101110511, 华阴
CN101110512, 临渭
CN101110513, 华州
CN101110601, 商洛
CN101110602, 洛南
CN101110603, 柞水
CN101110604, 商州
CN101110605, 镇安
INSERT INTO `city` `id`, `cityZh`
CN101110606, 丹凤
CN101110607, 商南
CN101110608, 山阳
CN101110701, 安康
CN101110702, 紫阳
CN101110703, 石泉
CN101110704, 汉阴
CN101110705, 旬阳
CN101110706, 岚皋
CN101110707, 平利
CN101110708, 白河
CN101110709, 镇坪
CN101110710, 宁陕
CN101110711, 汉滨
CN101110801, 汉中
CN101110802, 略阳
CN101110803, 勉县
CN101110804, 留坝
CN101110805, 洋县
CN101110806, 城固
CN101110807, 西乡
CN101110808, 佛坪
CN101110809, 宁强
CN101110810, 南郑
CN101110811, 镇巴
CN101110812, 汉台
CN101110901, 宝鸡
CN101110902, 渭滨
CN101110903, 千阳
CN101110904, 麟游
CN101110905, 岐山
CN101110906, 凤翔
CN101110907, 扶风
CN101110908, 眉县
CN101110909, 太白
CN101110910, 凤县
CN101110911, 陇县
CN101110912, 陈仓
CN101110913, 金台
CN101111001, 铜川
CN101111003, 宜君
CN101111004, 耀州
CN101111005, 王益
CN101111006, 印台
CN101111101, 杨凌
CN101111102, 杨陵
CN101120101, 济南
CN101120102, 长清
CN101120103, 商河
CN101120104, 章丘
CN101120105, 平阴
CN101120106, 济阳
CN101120107, 历下
CN101120108, 市中
CN101120109, 槐荫
CN101120110, 天桥
CN101120111, 历城
CN101120201, 青岛
CN101120202, 崂山
CN101120203, 市南
CN101120204, 即墨
CN101120205, 胶州
CN101120206, 黄岛
CN101120207, 莱西
CN101120208, 平度
CN101120209, 市北
CN101120210, 李沧
CN101120211, 城阳
CN101120301, 淄博
CN101120302, 淄川
CN101120303, 博山
CN101120304, 高青
CN101120305, 周村
CN101120306, 沂源
CN101120307, 桓台
CN101120308, 临淄
CN101120309, 张店
CN101120401, 德州
CN101120402, 武城
CN101120403, 临邑
CN101120405, 齐河
CN101120406, 乐陵
CN101120407, 庆云
CN101120408, 平原
CN101120409, 宁津
CN101120410, 夏津
CN101120411, 禹城
CN101120412, 德城
CN101120413, 陵城
CN101120501, 烟台
CN101120502, 莱州
CN101120503, 长岛
CN101120504, 蓬莱
CN101120505, 龙口
CN101120506, 招远
CN101120507, 栖霞
CN101120508, 福山
CN101120509, 牟平
CN101120510, 莱阳
CN101120511, 海阳
CN101120512, 芝罘
CN101120513, 莱山
CN101120601, 潍坊
CN101120602, 青州
CN101120603, 寿光
CN101120604, 临朐
CN101120605, 昌乐
CN101120606, 昌邑
CN101120607, 安丘
CN101120608, 高密
CN101120609, 诸城
CN101120610, 潍城
CN101120611, 寒亭
CN101120612, 坊子
CN101120613, 奎文
CN101120701, 济宁
CN101120702, 嘉祥
CN101120703, 微山
CN101120704, 鱼台
CN101120705, 兖州
CN101120706, 金乡
CN101120707, 汶上
CN101120708, 泗水
CN101120709, 梁山
CN101120710, 曲阜
CN101120711, 邹城
CN101120712, 任城
CN101120801, 泰安
CN101120802, 新泰
CN101120803, 泰山
CN101120804, 肥城
CN101120805, 东平
CN101120806, 宁阳
CN101120807, 岱岳
CN101120901, 临沂
CN101120902, 莒南
CN101120903, 沂南
CN101120904, 兰陵
CN101120905, 临沭
CN101120906, 郯城
CN101120907, 蒙阴
CN101120908, 平邑
CN101120909, 费县
CN101120910, 沂水
CN101120911, 兰山
CN101120912, 罗庄
CN101120913, 河东
CN101121001, 菏泽
CN101121002, 鄄城
CN101121003, 郓城
